# 六感菜单繁体手工校准词条 —— 按 SKU3惠而浦烤箱6th菜单菜谱-中英文-2026.xlsx 繁体块逐字
# 重放: perl tw_work/apply_six_desc_overrides.pl tw_work/six_desc_tw_overrides.tw_table.c 之前先备份
# 实际用法: perl tw_work/apply_six_desc_overrides.pl tw_work/six_desc_tw_overrides.tsv ui_builder/custom/i18n_tw_table.c
# 格式: zh<TAB>tw ; C 源里的 \n 写作 ⏎ ; # 开头为注释
# ==== 一、行片段(头部/层数/器皿, 与描述页共享的独立键) ====
烹饪说明：	烹調指引：
根据个人喜好进行调味。在炸盘内均匀铺开，在表面喷一层薄油	按個人喜好調味。平鋪在氣炸盤上，並在表面輕輕噴上一層煮食油。
根据个人喜好进行调味。抹上盐和黑胡椒碎，在炸盘内均匀铺开，在表面喷一层薄油	抹上鹽和胡椒。按個人喜好調味。平鋪在氣炸盤上，並在表面輕輕噴上一層煮食油。
根据个人喜好，用油、白葡萄酒、蒜、胡椒和欧芹进行调味	按個人喜好，加入食油、蒜頭、胡椒及番茜調味。
根据个人喜好，用油、蒜、胡椒和香芹进行调味	按個人喜好，加入食油、蒜頭、胡椒及番茜調味。
根据你的喜好，用油、大蒜、胡椒和欧芹调味	按個人喜好，加入食油、蒜頭、胡椒及番茜調味。
准备500~900g巧克力蛋糕面糊。倒入铺了烹调纸并刷油的烤盘中	準備 500-900 克的無油海綿蛋糕麵糊。倒入已鋪上烘焙紙及抹油的焗盤內。
准备500~900g无脂肪海绵蛋糕面糊。倒入铺了烹调纸并刷油的烤盘中	準備500-900g無油海綿蛋糕麵糊。倒入已鋪上烘焙紙並掃上食油的焗盤內。
准备无脂海绵蛋糕面糊500-900克。倒入涂了油的烤盘	準備 500-900 克的無油海綿蛋糕麵糊。倒入已鋪上烘焙紙及抹油的焗盤內。
刷油，并根据个人喜好进行调味。在烤盘内均匀铺开，表皮朝上	掃上食油，並按個人喜好調味。均勻平鋪於焗盤內，表皮向上。
刷油，并根据个人喜好进行调味。抹上盐和胡椒。放入烤箱，胸脯面朝上	掃上食油，並按個人喜好調味。抹上鹽及胡椒。放入焗爐，胸肉一面向上。
按照你喜欢的白面包配方准备面团，面团卷成长条状，并把它放在烤盘中。	按個人喜好的食譜準備鬆軟麵包麵團，並放上焗盤。
根据你喜欢的食谱准备酥皮和冰奶油。将酥皮放在烤盘上，撒上糖粉。烹饪结束时，将面皮切成3个大小相等的矩形。在最下面一层涂上冷冻的奶油，在顶部涂上第二层，再涂上一层奶油。小心地盖上涂了奶油的顶层，然后在食用前冷却	按個人喜好的食譜準備酥皮和冷藏忌廉。將酥皮放上焗盤並灑上糖霜。烹調完成後，將酥皮切成3份大小相同的長方形。在底層擠入冷藏吉士忌廉，蓋上第二層，再擠入一層忌廉。小心地蓋上頂層，冷藏後即可享用。
根据你喜欢的食谱准备面团，放在烤盘上。烹饪结束后，让它冷却下来，然后撒上糖粉	按個人喜好的食譜準備麵團，並放置於焗盤上。烹調完成後先放涼，再灑上糖霜。
